into_evl,Label num,,dorm label,Label num,into_evl,,cluster,Label num,into_evl,,ipark,Label num,into_evl,,coco,Label num,into_evl
open,0,,1F,0,18,,OPEN,0,0,,B2F,0,10,,person,0,78
open_on,1,,2F,1,20,,OPEN_On,1,1,,B1F,1,8,,bicycle,1,79
close,2,,3F,2,22,,CLOSE,2,2,,1F,2,18,,car,2,80
close_on,3,,4F,3,24,,CLOSE_On,3,3,,2F,3,20,,motorcycle,3,81
up,4,,5F,4,26,,B1F,4,8,,B2F_on,4,11,,truck,4,82
down,5,,6F,5,28,,B1F_On,5,9,,B1F_on,5,9,,dog,5,83
up_on,6,,7F,6,30,,1F,6,18,,1F_on,6,19,,,,
down_on,7,,8F,7,32,,1F_On,7,19,,2F_on,7,21,,,,
B1F,8,,9F,8,34,,2F,8,20,,open,8,0,,,,
B1F_on,9,,10F,9,36,,2F_On,9,21,,open_on,9,1,,,,
B2F,10,,1F_on,10,19,,3F,10,22,,up,10,4,,,,
B2F_on,11,,2F_on,11,21,,3F_On,11,23,,down,11,5,,,,
B3F,12,,3F_on,12,23,,4F,12,24,,up_on,12,6,,,,
B3F_on,13,,4F_on,13,25,,4F_On,13,25,,down_on,13,7,,,,
B4F,14,,5F_on,14,27,,5F,14,26,,,,,,,,
B4F_on,15,,6F_on,15,29,,5F_On,15,27,,,,,,,,
B5F,16,,7F_on,16,31,,6F,16,28,,,,,,,,
B5F_on,17,,8F_on,17,33,,6F_On,17,29,,,,,,,,
1F,18,,9F_on,18,35,,UP,18,4,,,,,,,,
1F_on,19,,10F_on,19,37,,UP_On,19,6,,,,,,,,
2F,20,,open,20,0,,DOWN,20,5,,,,,,,,
2F_on,21,,open_on,21,1,,DOWN_On,21,7,,,,,,,,
3F,22,,up,22,4,,GATE1,22,84,,,,,,,,
3F_on,23,,down,23,5,,,,,,,,,,,,
4F,24,,up_on,24,6,,,,,,,,,,,,
4F_on,25,,down_on,25,7,,,,,,,,,,,,
5F,26,,,,,,,,,,,,,,,,
5F_on,27,,,,,,,,,,,,,,,,
6F,28,,,,,,,,,,,,,,,,
6F_on,29,,,,,,,,,,,,,,,,
7F,30,,,,,,,,,,,,,,,,
7F_on,31,,,,,,,,,,,,,,,,
8F,32,,,,,,,,,,,,,,,,
8F_on,33,,,,,,,,,,,,,,,,
9F,34,,,,,,,,,,,,,,,,
9F_on,35,,,,,,,,,,,,,,,,
10F,36,,,,,,,,,,,,,,,,
10F_on,37,,,,,,,,,,,,,,,,
11F,38,,,,,,,,,,,,,,,,
11F_on,39,,,,,,,,,,,,,,,,
12F,40,,,,,,,,,,,,,,,,
12F_on,41,,,,,,,,,,,,,,,,
13F,42,,,,,,,,,,,,,,,,
13F_on,43,,,,,,,,,,,,,,,,
14F,44,,,,,,,,,,,,,,,,
14F_on,45,,,,,,,,,,,,,,,,
15F,46,,,,,,,,,,,,,,,,
15F_on,47,,,,,,,,,,,,,,,,
16F,48,,,,,,,,,,,,,,,,
16F_on,49,,,,,,,,,,,,,,,,
17F,50,,,,,,,,,,,,,,,,
17F_on,51,,,,,,,,,,,,,,,,
18F,52,,,,,,,,,,,,,,,,
18F_on,53,,,,,,,,,,,,,,,,
19F,54,,,,,,,,,,,,,,,,
19F_on,55,,,,,,,,,,,,,,,,
20F,56,,,,,,,,,,,,,,,,
20F_on,57,,,,,,,,,,,,,,,,
21F,58,,,,,,,,,,,,,,,,
21F_on,59,,,,,,,,,,,,,,,,
22F,60,,,,,,,,,,,,,,,,
22F_on,61,,,,,,,,,,,,,,,,
23F,62,,,,,,,,,,,,,,,,
23F_on,63,,,,,,,,,,,,,,,,
24F,64,,,,,,,,,,,,,,,,
24F_on,65,,,,,,,,,,,,,,,,
25F,66,,,,,,,,,,,,,,,,
25F_on,67,,,,,,,,,,,,,,,,
26F,68,,,,,,,,,,,,,,,,
26F_on,69,,,,,,,,,,,,,,,,
27F,70,,,,,,,,,,,,,,,,
27F_on,71,,,,,,,,,,,,,,,,
28F,72,,,,,,,,,,,,,,,,
28F_on,73,,,,,,,,,,,,,,,,
29F,74,,,,,,,,,,,,,,,,
29F_on,75,,,,,,,,,,,,,,,,
30F,76,,,,,,,,,,,,,,,,
30F_on,77,,,,,,,,,,,,,,,,
person,78,,,,,,,,,,,,,,,,
bicycle,79,,,,,,,,,,,,,,,,
car,80,,,,,,,,,,,,,,,,
motorcycle,81,,,,,,,,,,,,,,,,
truck,82,,,,,,,,,,,,,,,,
dog,83,,,,,,,,,,,,,,,,
GATE1,84,,,,,,,,,,,,,,,,
